"applicationsCount","companyId","companyName","companyUrl","contractType","description","experienceLevel","jobUrl","location","postedTime","posterFullName","posterProfileUrl","publishedAt","salary","sector","title","workType"
"Over 200 applicants","876308","ClearVision Technologies, Inc.","https://ca.linkedin.com/company/clearvisiontech.-inc.?trk=public_jobs_topcard-org-name","Full-time","About the Company:




ClearVision is involved in the design and manufacture of machine vision systems for quality control. Our primary customers are manufacturers in the paper, carton, and corrugated box industries. We assemble industrial cameras, sensors, our own lighting and control systems, industrial PCs, and touchscreen interfaces to create a complete inspection system. We then integrate this product with our customers' machinery on site.




Our camera systems inspect various high-speed processes including glue application, flexographic printing, barcoding, and braille dot embossing. Manufacturing and worldwide sales for the ClearVision brand are now handled by our parent company, Valco Melton, in Cincinnati, Ohio. This allows the ClearVision location in Mt. Pleasant, Vancouver to function as a design office focused on R&D, prototyping, and software development.




About the Position:




ClearVision will give you the opportunity to be an important member of a dynamic multi-disciplinary design team. The Computer Vision Software Developer will learn and improve all current algorithms as well as develop new algorithms for new products. The position consists of the full development cycle where the engineer designs a test setup for emulating the real-world conditions, develops algorithms to perform the required measurements, tests it on the field, and refines the product.




The position will also involve direct communication with the service engineers, training field engineers, writing basic documentation on the developed product and helping field engineers support customers using the product.




The products are currently expanding into other packaging industries such as folding carton, web inspection and case sealing while keeping a very strong footing in corrugated box manufacturing -- particularly vision-based print inspection.




Travel worldwide (approximately 10% travel) is expected for this position to assist with product development. You will work with the ClearVision team in Vancouver as well as with Valco Melton engineers around the world. ClearVision has an energetic and fun work environment with weekly lunches and other employee events.




Duties & Responsibilities:




 * Development of computer vision algorithms / deep learning models that are efficient and robust.
 * Development and maintenance of industrial software applications.
 * Working with other Software and Mechatronics engineers to produce a comprehensive quality assurance solution for the packaging industry.
 * Testing of algorithms in an industrial environment.




Required Experience:




 * 4+ years of computer / machine vision programming experience.
 * 2+ years working in industry.
 * 2+ years of C++/C# experience.
 * 2+ years of OOP experience.
 * 2+ years of OpenCV experience.
 * 2+ years of Machine Learning / Deep Learning.




Required Competencies:




 * Ability to create reliable machine vision algorithms that work well under varying lighting and imaging conditions.
 * Ability to use creative ideas to design fast and well-optimized algorithms.
 * Ability to create unique Object Detection Deep Learning datasets from customer data.
 * Ability to train datasets to produce robust models that can be deployed to customer sites.
 * Ability to write robust software applications and debug bugs.




Preferred Competencies:




 * Visual Studio.
 * Git, source code revision control.
 * Lighting and imaging understanding.




Preferred Personal Skills:




 * Good communication skills.
 * Willingness to travel.
 * Good troubleshooting and problem solving.
 * Customer oriented.
 * Driver's license class 5.




Education:




 * Bachelor’s degree in engineering- or science-related field.
 * Master’s degree preferred.




Please note: only those applicants under consideration will be contacted.","Associate","https://ca.linkedin.com/jobs/view/computer-vision-software-developer-at-clearvision-technologies-inc-3819419885?trk=public_jobs_topcard-title","Vancouver, British Columbia, Canada","1 day ago","Connor Brown","https://www.linkedin.com/in/connorjosephb","2024-03-20","","Automation Machinery Manufacturing","Computer Vision Software Developer","Engineering"
"Over 200 applicants","1035","Microsoft","https://www.linkedin.com/company/microsoft?trk=public_jobs_topcard-org-name","Full-time","The Product Ads Algorithm & Infrastructure team in Ads Understanding team is hiring an Data & Applied Scientist II for our Vancouver, British Columbia, Canada location. The team is responsible for product ads selection, relevance, modeling, and online infrastructure for serving and experimenting cutting edge algorithms, ranging from natural language processing (NLP) to information retrieval, computer vision, etc. The team leverages heavily on deep learning methodologies to build solutions to meet the Commerce Strategy of Microsoft, where Product Ads is at the center of it! We are looking for a passionate scientist to deliver an amazing shopping experience with our multi-modal models backing it up. 

 

Online Advertising is one of the fastest growing businesses on the Internet today, with about $70 billions of a $600 billion advertising market already online.  Search engines, web publishers, major ad networks, and ad exchanges are now serving billions of ad impressions per day and generating terabytes of user events data every day. Rapid online advertising growth has created enormous opportunities and technical challenges that demand computational intelligence. Computational Advertising has emerged as a new interdisciplinary field that involves information retrieval, machine learning, data mining, statistics, operations research, and micro-economics, to solve challenging problems that arise in online advertising. The central problem of computational advertising is to select an optimized slate of eligible ads for a user to maximize a total utility function that captures the expected revenue, user experience and return on investment for advertisers.  Microsoft is innovating rapidly in this space to grow its share of this market by providing the advertising industry with the state-of-the-art online advertising platform and service. Microsoft Ads Relevance and Revenue (RnR) team is at the core of this effort, responsible for research & development of all the algorithmic components in our advertising technology stack, including,   


 * User/query intent (text and image) understanding, document/ad understanding, user targeting - Relevance modeling, IR-based ad retrieval  
 * User response (click & conversion) prediction using large scale machine learning algorithms - Marketplace mechanism design and optimization, and whole-page experience optimization - Personalization  
 * Innovative new ads products  
 * Network protection, fraud detection, traffic quality measurement   
 * Advertising metrics and measurement, including relevance and ad campaign effectiveness   
 * Data mining and analytics  
 * Supply-demand forecasting  
 * Ad campaign planning and optimization  
 * Experimentation infrastructure including tools for configuring and launching experiments, dashboard, live marketplace monitoring, and diagnosis.     
   
   

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others, and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.

In alignment with our Microsoft values, we are committed to cultivating an inclusive work environment for all employees to positively impact our culture every day.

Responsibilities


 * We are looking for an Data & Applied Scientist II with R&D background to conduct research and development on intelligent search advertising systems to mine and learn actionable insights from large scale data and signals we collect from user queries and online activities, advertiser created campaigns and their performances, and myriad responses from the parties touched by the system in Bing ads paid search ecosystem.  
 * The person will play a key role in driving algorithmic and modeling improvement to the system (esp. using deep learning techniques), analyze performance and identify opportunities based on offline and online testing, develop, and deliver robust and scalable solutions, make direct impact to both user and advertisers experience, and continually increase the revenue for Bing ads.   
 * Embody our Culture and Values
   
   

Qualifications

Required Qualification:


 * Bachelor's Degree in Statistics, Econometrics, Computer Science, Electrical or Computer Engineering, or related field AND 2+ years related experience (e.g., statistics, predictive analytics, research)
    * OR Master's Degree in Statistics, Econometrics, Computer Science, Electrical or Computer Engineering, or related field AND 1+ year(s) related experience (e.g., statistics, predictive analytics, research)
    * OR Doctorate in Statistics, Econometrics, Computer Science, Electrical or Computer Engineering, or related field
       * OR equivalent experience.

 * 2+ years working experience in statistical natural language processing (NLP) with latest deep learning technologies including transformer and LLMs
 * OR 2+ years working experience in Computer Vision (CV) with latest deep learning technologies including Vision Transformers.
   

Preferred Qualifications


 * 2+ years working experience with coding in production systems using c++, c#, jaya or python
 * PhD degree is a plus.  
 * Deep learning or machine learning experience with experience with TensorFlow, Keras, or Pytorch is a plus 
 * Publication record in ML, NLP areas (CV also is preferred) 
 * Experience in online advertising is a plus.    
 * Experience in parallel or distributed processing, high performance computing, stream computing and SCOPE is a plus 
   
   

Role

Applied Sciences IC3 - The typical base pay range for this role across Canada is CAD $79,600 - CAD $153,000 per year. Find additional pay information here:

https://careers.microsoft.com/v2/global/en/canada-pay-information.html

#BingAds# #WebXT# #MachineLearning# #Advertising

Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.","Not Applicable","https://ca.linkedin.com/jobs/view/data-applied-scientist-ii-at-microsoft-3844058105?trk=public_jobs_topcard-title","Vancouver, British Columbia, Canada","2 weeks ago","","","2024-03-06","","Software Development","Data & Applied Scientist II","Engineering and Information Technology"
"Be among the first 25 applicants","95773843","Picsume","https://ca.linkedin.com/company/picsume?trk=public_jobs_topcard-org-name","","IMPORTANT - DO NOT APPLY THROUGH LINKEDIN




Apply through the following link: https://app.picsume.ca/jobs/PICSUME/ai-specialist-machine-learning




Job Description:




Picsume is on the hunt for a Mid-Level Software Engineer specializing in AI and machine learning to spearhead the creation of an innovative AI recommendation engine across our suite of recruitment tools. Join us in shaping the future of work with cutting-edge technology and data-driven precision.




Responsibilities:




 * Lead the development and implementation of Picsume's AI recommendation engine, anchoring a powerful matchmaking experience between employers and candidates.
 * Select and effectively integrate third-party APIs and tools to enhance the recommendation engine capabilities.
 * Utilize a tech stack that includes Golang, with flexibility to employ additional programming languages and frameworks essential for AI-driven feature development.
 * Spearhead the architecture and technical design, delivering scalable and secure solutions that protect personal identifiable information through advanced tokenization methods.
 * Innovate continuously, ensuring the Picsume platform leverages the latest AI breakthroughs and adapts to the evolving needs of the recruitment industry.
 * Provide strategic insights and collaborate cross-functionally with product managers and UX designers to refine and advance product features.




Qualifications:




 * A minimum of 3-4 years' experience in software development with a significant focus on AI and machine learning.
 * Proficiency in Golang, along with knowledge in Python, TensorFlow, PyTorch, or other AI/ML libraries and languages.
 * Demonstrated capability in implementing and maintaining third-party APIs and services, with a problem-solving mindset geared towards innovation.
 * An understanding of full-stack development is preferred, particularly with React and Node.js for end-to-end feature integration.
 * Exceptional communication skills, adept at knowledge sharing and guiding team members with less AI specialization.
 * Passion for learning, with a track record of self-driven education and a palpable enthusiasm for AI technology's potential.




What We Offer:




 * A pivotal role in a rapidly growing company at the forefront of recruitment technology.
 * The opportunity to work on broad applications of AI, impacting various aspects of the Picsume platform.
 * A supportive environment for professional development, including access to learning resources and collaboration with industry experts.
 * Competitive compensation and the opportunity to work with a passionate, forward-thinking team.




Ready to redefine recruitment technology with AI and machine learning? Picsume awaits your expertise and vision. Apply today and help us build intelligent platforms that connect the workforce of tomorrow.","Full-time","https://ca.linkedin.com/jobs/view/software-engineer-ai-and-machine-learning-at-picsume-3863633930?trk=public_jobs_topcard-title","Windsor, Ontario, Canada","7 hours ago","Jordan Goure","https://ca.linkedin.com/in/jordangoure","","","","Software Engineer - AI and Machine Learning",""
"Be among the first 25 applicants","","","","Full-time","Farm Mutual Re.

Join the Ontario Mutual Automobile Plan (OMAP) team and experience the passion it takes to empower and advance our mutual insurance community!

We have an excellent opportunity to join one of Waterloo Region’s top employers as a Data Scientist (telematics) in our Ontario Mutual Automobile Plan (OMAP) department. With this position, you will have the opportunity to join a culture that takes pride in being honest, delivering on promises and is committed to doing what is right.

OMAP is a department which provides product, underwriting, actuarial, regulatory, and systems support to a group of Ontario Mutual Insurance Association (OMIA) companies that underwrite automobile insurance in Ontario and have elected to do a common filing with the Financial Services Regulatory Authority (FSRA). This group of 30 mutual insurance companies writes a combined annual automobile insurance premium base of approximately $300M.

The Data Scientist will report directly to the VP of the Ontario Mutual Automobile Plan (OMAP). The successful individual will be a pivotal member of the department, responsible for developing and maintaining processes around data extraction, cleaning, and analysis aligned to industry best practices. Auxiliary responsibilities include supporting implementation of a telematics product for auto insurance, supporting the Business Analyst with auto insurance rate testing to ensure charged rates align to rates filed with the regulator and with communicating technical requirements of Auto Insurance rate and rule changes with IT and System Vendors.

This position offers a hybrid work schedule. In-office frequency is usually 2-3 days per month.

The Role:

The successful candidate can expect to:

 * Perform data analysis, statistical modeling, and maintain and update internal & external datasets
 * Extract, clean, and present data via dashboards for Business, Product, Underwriting, and Actuarial teams
 * Support implementation and ongoing performance monitoring of our telematics product for Auto Insurance
 * Assist the Business Analyst with auto insurance rate testing, communicating technical requirements and rule changes with IT and system vendors, and determining technology needs for Telematics and future insurance initiatives
 * Maintain, test, and implement new insurance solutions
 * Strengthen, streamline, and document our technology processes and support ongoing product development

Your Skills and Qualifications:

 * You have a Bachelor’s degree, preferably majoring in Computer Science, Mathematics, or another related field with exposure to data preparation and analysis
 * You have a minimum of three years’ experience in a Data Scientist or related role. Prior auto insurance experience would be a significant asset
 * Experienced in a variety of data processing and programming languages, primarily R and including any of SQL, VBA, C-based languages, Python, etc.
 * You have a track record of working with large datasets (hundreds of variables on millions of data points)
 * You are very proficient using spreadsheets and business intelligence tools and creating dashboards
 * You possess strong communication skills, including presenting data to non-technical audiences

Join Our Team!

Recognized as one of Waterloo Area’s Top Employers 2023 as well as one of Canada’s Greenest Employers 2023, at Farm Mutual Re we are committed to inclusion for all and cultivating belonging where everyone can be their authentic and best selves.

Operating since 1959, Farm Mutual Re is a general reinsurer, sharing in the property, automobile, liability, and other risks originally accepted by insurance companies operating principally in Canada.

We’re passionate about empowering and supporting our employees and business partners. Our relationships are the foundation that helps us advance the mutual insurance community. We take pride in giving back to our community and the environment. We hold ourselves accountable for the promises we make to our members, employees, and valued business partners.

Our office is in Cambridge, Ontario off the 401 in a state-of-the-art, environmentally friendly building. Our employees enjoy perks including complimentary access to an on-site gym, a variety of fitness classes and wellness sessions, as well as the flexibility to work remotely as we embrace the modern hybrid work environment. Our culture is supportive of achieving a balanced and healthy lifestyle. In addition to a great working environment, we invest in our employees continued professional development, offer a competitive salary, employer-paid benefits, pension plan and more.

How to Apply:

Don’t miss this opportunity to join our team. Visit our website and complete our Employment Application found on our Careers page.

In accordance with our company values, Farm Mutual Re is committed to creating an equitable, diverse, and inclusive work environment for all as well as to providing accommodations and achieving a barrier-free workplace. Should you require an accommodation to participate in our recruitment process,","Entry level","https://ca.linkedin.com/jobs/view/data-scientist-telematics-full-time-3857688319?trk=public_jobs_topcard-title","Greater Toronto Area, Canada","4 days ago","","","2024-03-17","","","Data Scientist (Telematics)-Full-Time","Engineering and Information Technology"
"Be among the first 25 applicants","71852210","Toloka","https://nl.linkedin.com/company/toloka?trk=public_jobs_topcard-org-name","Part-time","We are embarking on a large-scale project with a leading technology company to develop an AI system with a deep understanding of the formal sciences. This part-time, fully remote project offers a unique opportunity to influence the role of AI in mathematics, logic, theoretical computer science, artificial intelligence, statistics, and more.

As an AI Tutor — Domain Expert, your work will involve creating and refining AI-generated content to ensure accuracy, relevance, and engagement across a wide array of topics. Your contributions will help shape an AI that educates, inspires curiosity, and promotes a deeper understanding of abstract systems and their applications.

Company Intro:

Toloka AI is a global tech company that delivers solutions to companies worldwide. We combine humans and technology to power AI with human insight.

Our products provide access to human-powered data and are used by leading tech companies including Samsung, AliExpress, Bestplace, Handl, JetBrains, Leroy Merlin, Naver Labs, Replika, Trivago and many more.

Responsibilities:


 * Develop and refine content related to the formal sciences, making complex concepts accessible to diverse audiences
 * Craft and evaluate a variety of domain-specific prompts, questions, and responses for an AI system, catering to scenarios ranging from academic assistance to casual learning
 * Ensure the AI’s responses are accurate, up-to-date, and reflective of the latest scientific research and practices
 * Collaborate with a dynamic team of experts and contribute to the project’s overarching goal of building AI systems that people can trust
   
   

Requirements:


 * Advanced studies or degree in mathematics, logic, theoretical computer science, artificial intelligence, statistics or a related field. Providing your diploma is a plus
 * Proficiency in English (С1+)
 * A strong passion for writing, editing, and the formal sciences
 * Eagerness to learn new technologies and adapt to evolving project demands
   
   

Benefits:


 * Be part of a significant project for a leading technology company, making a substantial impact on the future of AI
 * Enjoy the flexibility of a part-time, remote role that accommodates your schedule
 * Try your hand at an AI project and enrich your portfolio with new experiences","Not Applicable","https://ca.linkedin.com/jobs/view/mathematics-scientist-m-f-x-freelance-at-toloka-3841247185?trk=public_jobs_topcard-title","Toronto, Ontario, Canada","2 weeks ago","","","2024-03-02","","IT Services and IT Consulting","Mathematics Scientist (m/f/x) - Freelance","Research, Analyst, and Information Technology"
"144 applicants","71721181","Haven Studios Inc","https://ca.linkedin.com/company/haven-studios-inc?trk=public_jobs_topcard-org-name","Full-time","ENGLISH FOLLOWS




Chercheur-euse en ML (LLMs)




Nous recherchons un-e chercheur-e en ML passionné-e par l'utilisation des LLMs dans le cadre du développement et de la conception de jeux pour rejoindre notre équipe R&D en ML génératif. Vous travaillerez avec les autres membres de notre équipe ML pour inventer de nouveaux outils et techniques de développement de jeux. Notre équipe est et sera constituée de chercheurs en ML, MLOps, des développeurs-res et programmeurs-euses de jeux traditionnels.




En tant que chercheur-e en ML, vous serez chargé-e de créer ou d'affiner des modèles adaptés à des objectifs spécifiques (afin que nous ne nous limitions pas à l’utilisation de LLMs génériques pour résoudre tous nos défis). Si vous cherchez à savoir comment les LLMs peuvent ouvrir de nouvelles voies d'expression créatives et techniques, en particulier dans le domaine des jeux, ce rôle est fait pour vous.

Pour vous donner une idée des travaux antérieurs de l'équipe, voici une courte présentation que nous avons faite à SIGGRAPH : https://youtu.be/btWy-BAERoY?t=3420




Rapport




Le-la chercheur-e en ML est rattaché-e au-à la directeur-rice du ML génératif




Responsabilités et tâches

 * Affiner les LLMs et développer des modèles pour des cas d'utilisation ciblés.
 * Imaginer des applications et comment appliquer les LLM au développement de jeux.
 * Suivre les dernières recherches et les communiquer à l'ensemble des équipes de ML.
 * La publication des résultats est encouragée mais n'est pas requise.



Expérience et compétences requises

 * Compréhension profonde des LLMs et de l'évolution de l'état de l'art
 * À l'aise avec les projets à long terme et le prototypage rapide
 * Autonome, collaboratif-tive, bon-ne communicateur-trice.




Qualifications souhaitées

 * Intérêt ou expérience dans la conception de jeux
 * Connaissances et intérêts au-delà de la ML et des jeux




ML Researcher (LLMs)




We are looking for an ML Researcher passionate about using LLMs as part of game development and design to join our Generative ML R&D team. You will work with the other members of our ML team to invent new game development tools and techniques. Our team includes or will include ML researchers, MLOps, traditional game developers, and programmers.




As an ML researcher, you will be responsible for creating or fine-tuning models tailored to specific goals (so we’re not just applying generic LLMs at every challenge). If you are researching how LLMs can unlock new avenues for creative and technical expression, especially as it applies to games, this role is for you.

To give you a sense of the team’s prior work, here is a short presentation we gave at SIGGRAPH: https://youtu.be/btWy-BAERoY?t=3420




Reporting




The ML Researcher will report to the Director of Generative ML




Responsibilities and Duties

 * Finetune LLMs and build models for target use-cases
 * Ideate applications and workflows that apply LLMs to game development
 * Track the latest research and communicate it to the broader ML teams
 * Publication is encouraged but not required




Experience and Skills required

 * Deep understanding of LLMs and the evolving state of the art
 * Comfort with long-term moonshots and rapid prototyping
 * Self-motivated, collaborative, good communicator




Preferred Qualifications

 * Interest or experience in game design
 * Breadth of knowledge and interests beyond ML and games","Mid-Senior level","https://ca.linkedin.com/jobs/view/ml-researcher-llm-s-chercheur-euse-en-ml-llms-at-haven-studios-inc-3831881843?trk=public_jobs_topcard-title","Montreal, Quebec, Canada","4 weeks ago","Rebecca Davis","https://www.linkedin.com/in/rebeccadavisartist","2024-02-22","","Computer Games","ML Researcher/LLM's - Chercheur-euse en ML (LLMs)","Engineering"
"84 applicants","51628714","Zortech Solutions","https://ca.linkedin.com/company/zortech?trk=public_jobs_topcard-org-name","Full-time","Job Title: QA Engineer-Cloud, SQL

Duration: Fulltime

Location: Onsite in Vancouver, BC

Job Description

We are seeking a qualified candidate for the role of QA Engineer, who will be responsible for developing and executing automated test scripts in a big data environment. The ideal candidate should possess the following skills and experience:

Must-Have


 * Familiarity with cloud platforms such as Azure, AWS, or Google Cloud for testing within cloud-based data ecosystems.
 * Strong SQL skills to perform data validation and verification during testing.
 * Expertise in JMeter, Selenium & Power BI for visualizing and analyzing data, aiding in the identification of data quality issues and anomalies.
   
   

Nice-to-Have


 * Proficiency in Python and PySpark for developing and executing automated test scripts in a big data environment, along with experience in performance testing.
 * Hands-on experience with Databricks for data processing and testing.
 * Good to have experience in Machine Learning, Data Pipelines testing (ADF), and security testing.","Entry level","https://ca.linkedin.com/jobs/view/qa-engineer-cloud-sql-canada-at-zortech-solutions-3816763747?trk=public_jobs_topcard-title","Vancouver, British Columbia, Canada","1 month ago","","","2024-01-30","","Human Resources Services","QA Engineer-Cloud, SQL -Canada","Engineering and Information Technology"
"124 applicants","88015600","MindPal","https://www.linkedin.com/company/mindpal.co?trk=public_jobs_topcard-org-name","Full-time","We are looking for a mid/senior Python Developer

Responsibilities


 * Maintenance and development of the backend of an e-commerce application based on Django Rest Framework
 * Writing unit tests for new functionalities
 * Delivering readable and transparent code
 * Building dashboards based on SQL queries and processing the results
 * Direct contact with the client
   
   

Requirements


 * Minimum 3 years of experience working with Python
 * Knowledge of Django, Django Rest Framework, Docker, Docker-compose, relational databases (e.g. PostgreSQL), Flask, Redis, Celery, postgresql
 * English at least B2
 * Understanding the right patterns and algorithms
 * Practical analytical skills
 * Nice to have: Kubernetes, graphql, AWS / Google Cloud as well as Agile / SCRUM / Kanban
   
   

We Offer


 * B2B contract type
 * Full-time job
 * Remote and flexible working hours","Entry level","https://ca.linkedin.com/jobs/view/python-developer-at-mindpal-3764242183?trk=public_jobs_topcard-title","Montreal, Quebec, Canada","4 months ago","","","2023-11-13","","Staffing and Recruiting","Python Developer","Engineering and Information Technology"
"Over 200 applicants","784652","Shopify","https://ca.linkedin.com/company/shopify?trk=public_jobs_topcard-org-name","Full-time","About Shopify

Shopify is innovating faster than any other commerce stack. We put independence within reach for anyone with a dream to start a business. We transform enteprises and work with some of the world's biggest names and brands who are pushing the limits — and expect us to, too.

While millions of merchants in over 175 countries already use Shopify, the remaining opportunity is vat. This is life-defining work that directly impacts people’s lives as much as it transforms your own. This is putting the power of the few in the hands of the many, is a future with more voices rather than fewer, and is creating more choices instead of an elite option.

About The Role

About the role

As a Product Analytics professional, you'll be tasked with transforming raw data into actionable insights that will help guide the development and improvement of our products. This role isn't for the faint-hearted or those seeking a conventional corporate structure - we operate on the principles of low process, high trust, and high impact. It's all about getting things done quickly and efficiently, while continuously learning and adapting to changes in a dynamic environment.

Our product is designed to empower entrepreneurs. Consequently, the work you do will not only create value for our users but also contribute to global entrepreneurship. To thrive here, you need to be dedicated to your craft and committed to constant development. You should be an independent thinker who can solve complex problems and handle a bit of chaos without breaking a sweat.

As a Senior Data Scientist, you will partner with Product, Engineering, UX, and other disciplines to lead through data and achieve product/business goals. Product Data Scientists are expected to:


 * Proactively identify and champion projects that solve complex problems in important business areas.
 * Partner closely with product, engineering and other business leaders to influence product and program decisions with data
 * Holistically own general problems in those product/business domains and understand how those problems/domains interact with the rest of Shopify.
 * Build actionable KPIs, production-quality dashboards, informative deep dives, and scalable data products
 * Apply specialized skills and fundamental data science methods (e.g. regression, survival analysis, segmentation, experimentation, and machine learning when appropriate) to inform improvements to our business
 * Design and implement end-to-end data pipelines: work closely with stakeholders, especially data engineering, to build instrumentation and define dimensional models, tables or schemas that support business processes
 * Influence leadership to drive more data-informed decisions
 * Define and advance best practices within your data science and product teams
   
   
   

There are several teams looking for Product Data Scientists to partner with and help drive value for our merchants. These include:

Core Ecosystem, International, and Marketing

Merchants use Shopify in a variety of ways, using a wide array of first-party features and augmenting them with third-party apps. These all come together to help merchant’s meet their diverse needs. A shoe brand in Canada, a small jeweler in Japan, and a Fortune 500 company in Germany all need different tools so succeed! This Data Science team is focused on helping merchants make the most use of these different features and apps all over the world.

Checkout & Storefront

The Core Product Data Science team combines leading-edge analytical techniques with strong business & product acumen in order to drive better decisions and outcomes for Shopify’s merchants. Data Scientists turn data into actionable insights through a number of analytical methods, such as A/B tests, In-depth studies, advanced modeling, data visualizations, etc. to shape and support our product development strategies.

Executive Insights

The Executive Insights team supports Shopify leadership in setting the direction of the company, sharing our message of entrepreneurship to the world, and investing in building the best products for our merchants. We do this by combining a deep understanding of the entrepreneurs that use our products, our position in the marketplace and the challenges our merchants face.

Qualifications


 * Extensive experience in product analytics, experimentation, metrics research, and working with engineers on instrumentation and robust data pipelining
 * Extensive experience in a data science role solving large-scale, high impact business problems
 * Masterful data storytelling and strategic thinking, with an ability to inspire and cultivate the Data culture within your team
 * Extensive experience using Python including a strong grasp of object oriented programming (OOP) fundamentals
 * Deep understanding of advanced SQL techniques and data modeling
 * Well versed with various Business Intelligence platforms and tools
 * Experience working with various levels of business stakeholders, from c-suite to engineering and product development teams.
 * Working on multiple work streams excites you, and you are able to use ambiguity as an opportunity for high-level thinking
 * Experience creating data product strategies, building data products, and continued iteration after launch
 * Experience launching productionized machine learning models at scale is a plus
 * Extensive domain experience in e-commerce, sales & marketing or SaaS is a plus
   
   
   

We hire people, not resumes. If you think you’re right for the role, apply now. Please submit your CV/Resume in PDF format.","Mid-Senior level","https://ca.linkedin.com/jobs/view/senior-product-data-scientist-multiple-roles-at-shopify-3740122078?trk=public_jobs_topcard-title","Canada","3 days ago","","","2024-03-18","","Software Development","Senior Product Data Scientist, Multiple Roles","Engineering and Information Technology"
"Over 200 applicants","74916594","Inworld AI","https://www.linkedin.com/company/inworld-ai?trk=public_jobs_topcard-org-name","Full-time","Why Join Inworld




Inworld is the best-funded startup in AI and games with a $500 million valuation and backing from top tier investors like Intel, Microsoft, Lightspeed, Bitkraft, Founders Fund, Kleiner Perkins, and more. Inworld was recognized by CB Insights as one of the 100 most promising AI companies in the world and was nominated alongside Anthropic, DeepMind, OpenAI and Nvidia for Generative AI Innovator of the Year at the VentureBeat Awards 2023.




Inworld is the leading AI engine for games, enabling developers to build groundbreaking game mechanics, dynamic NPCs and worlds that evolve with each action. Inworld powers experiences built by Niantic, NetEase Games and LG, among others, and has partnerships with key industry players such as Microsoft/Xbox, Epic Games, and Unity.




We are seeking Staff and Principal level Machine Learning Engineers with extensive experience in Natural Language Processing (NLP). You will be at the forefront of building generative AI products that utilize Large Language Models (LLMs) to create next-generation AI characters.




Qualifications




 * BA/BS degree or higher in Computer Science, Engineering, or a similar technical field.
 * 6 years of experience with software development in one or more programming languages.
 * 4 years of experience with applying machine learning algorithms in natural language processing domains.
 * 1+ years of experience training LLMs (6B parameters and larger) such as NeoX, LLaMA, PaLM, etc. is considered a big plus.
 * Deep knowledge of machine learning frameworks such as PyTorch, TensorFlow, or JAX.




Responsibilities




 * Explore and experiment with cutting edge ML techniques for applied NLP.
 * Develop and test production-grade scalable generative machine learning models.




In-office location: Vancouver, Canada.




Remote location: Canada.




The Canada base salary range for this full-time position is CAD $200,000 - $300,000. In addition to base pay, total compensation includes bonus, equity and benefits. Within the range, individual pay is determined by work location and additional factors, including competencies and experience.","Not Applicable","https://ca.linkedin.com/jobs/view/staff-machine-learning-engineer-at-inworld-ai-3828529879?trk=public_jobs_topcard-title","Canada","3 days ago","Alesya Naberezhnova","https://www.linkedin.com/in/alesyanaberezhnova","2024-03-18","","Software Development","Staff Machine Learning Engineer","Engineering"
