,adresseOffre,intitule,datePublication,datePremierePublication,LANGUE,SAVOIR_ETRE,SAVOIR_FAIRE,salaireTexte,entreprise,enseigne,description,profil,entreprise_description
64,,Développeur c# .net F/H,2023-11-23T02:27:57.000+0000,2023-10-27T01:42:05.000+0000,['Anglais'],"['Curiosité', 'Proactivité']","['Microsoft .NET', 'Application Web', 'Bureautique', 'C++', 'Cahier des charges', 'C sharp', 'CSS', 'Développement web', 'Discrete Event System Specification', 'HTML', 'Langage informatique', 'Maintenance', 'Maquettage', 'Microsoft Office XP', 'Python', 'Réponse aux besoins', 'SQL', 'Visual Basic']",A négocier,Cadremploi,cadremploi,"Mission : 

Concevoir des applications sur l'écosystème développé par Microsoft :

Analyser et répondre aux besoins / cahier des charges exprimés par un chef de projet, product owner ou dev,
Réalisation de maquettes et prototype de produit,
Développement d'application Web ou de bureau, de gestion (ou services), sites Internet,
Amélioration de fonctionnalités d'applications,
Correction de dysfonctionnements éventuels et maintenance des supports réalisés,
Réalisation de documents fonctionnels & techniques sur l'application,
Enfin, il peut évoluer en tant que superviseur, chef de projet ou architecte (technique ou fonctionnel). ...","Prérequis : 

- Doté d'une maîtrise parfaite du langage C# .NET, ainsi que des langages informatiques HTML, CSS et SQL.

- Il effectue une veille permanente et actualise ses compétences grâce à sa curiosité et sa réactivité.

- Des compétences C++, Visual Basic et Python 

- Un bon niveau d'anglais. ...","Notre groupe participe à la réalisation des plus beaux projets industriels en France et à l'International. Grâce aux solides compétences de ses collaborateurs, Geser-Best répond aux attentes de ses clients avec Rigueur, Rapidité et Agilité. 
Notre mission : adresser les besoins en recrutement de demain dès aujourd'hui, avec les talents les plus adaptés. 
Notre priorité : la qualité

Notre priorité : la qualité ..."
65,PARIS 11,Développeur Front et Back End F/H,2023-11-22T13:03:19.000+0000,2023-11-22T13:03:19.000+0000,,['Passionne'],"['TypeScript', 'Java EE', 'PHP Hypertext Preprocessor', 'Algorithme', 'Apache Struts', 'Apache Tomcat', 'Architecture', 'Back office', 'ERP', 'Framework', 'Frontal', 'Hibernate', 'Informatique', 'JavaScript', 'Langage de programmation', 'Maintenance', 'Méthodologie agile', 'Microsoft SQL Server', 'MySQL', 'Oracle Database', 'Outils de développement', 'PostgreSQL', 'Python', 'Scrum', ""Serveur d'applications"", 'Structures de données', 'Systèmes de gestion de bases de données', 'Web']",30 - 45 k€ brut annuel,TEGELOG,TEAMNET,"Sous la conduite de la Direction Générale, vous participerez à la conception, au développement, à la maintenance et à l évolution de notre gamme de progiciels de gestion en environnement Web, notamment sur le logiciel petite enfance (Back end : PHP ; Front End : Angular)","De formation Bac +2 à Bac +5, vous disposez d une expérience significative de 3 ans minimum. Vous êtes Passionné par l informatique et les nouvelles technologies. Connaissances techniques exigées : Architecture : J2EE Maitrise des langages de programmation ANGULAR, JAVA, J2E, JAVASCRIPT Outil de développement : PHP/ANGULAR/ JAVA/ ECLIPSE/PYTHON Serveur d application : TOMCAT Maitrise des SGBDR : ORACLE, PostgreSQL, MySQL, SQL Server Framework : STRUTS 1.2, HIBERNATE Maitrise des méthodes AGILE/SCRUM. Excellente compréhension des algorithmes et des structures de données","Vous êtes un passionné d informatique ? Vous souhaitez rejoindre une PME à taille humaine en plein développement ? Vous souhaitez évoluer et progresser ? Ne cherchez plus, nous avons le poste qu il vous faut ! TEAMNET, éditeur de progiciels de gestion et apporteur de solutions à destination des collectivités locales leader sur le marché avec plus de 1000 clients. "
66,BOULOGNE BILLANCOURT,Ingénieur Intégration Validation Qualification - Aérospatial/Défense F/H,2023-11-22T09:24:59.000+0000,2023-11-22T09:24:59.000+0000,,,"['LabWindows', 'Aérospatiale', 'Codage', 'Équipement électronique', 'Formation continue et professionnelle', 'Python', 'Réseaux sociaux']",35 - 45 k€ brut annuel,VIVERIS,VIVERIS,"Contexte :Dans le cadre des activités d'un de nos clients spécialisé dans le secteur de la Défense produisant des équipements électronique, Viveris recrute un Ingénieur Intégration Vérification Qualification (H/F). Vos responsabilités :	- Mise à jour logicielles des moyens d'essais,	- Codage de mesure RF,	- Réalisation d'IVQ.","Profil recherché :De formation supérieure ingénieur spécialisé en électronique ou de profil équivalent. Vous avez de l'expérience dans les missions citées ci-dessus.Compétences techniques :	- Testand,	- Labwindows / CVI,	- Python.Nos avantages :	- Rémunération attractive et évolutive, mutuelle familiale à garantie haute,	- Tickets restaurant pris en charge à 60 %, 100 % titre de transport urbain remboursé,	- Primes d'intéressement, de participation et de cooptation,	- 2 jours de télétravail par semaine,	- Formation continue avec LinkedIn Learning et nos communautés techniques.Poste basé à Cholet (49)","Viveris est un groupe de conseil et d'ingénierie spécialisé dans la conduite et la réalisation de projets dans les domaines de l'informatique et de l'électronique.S'engager avec Viveris, c'est l'assurance de relever des défis techniques et humains tout en travaillant sur des projets innovants dans un environnement collaboratif et solidaire."
67,PARIS 16,Ingénieur Logiciels Scientifiques - Paris F/H,2023-11-23T10:45:13.000+0000,2023-11-23T10:45:13.000+0000,,,"['C++', 'Calcul scientifique', 'Fortran', 'Matlab Simulink', 'Python', 'Aéronautique', 'Analyse des besoins', 'Analyse des besoins clientèle', 'Apprentissage automatique', 'Architecture logicielle', 'Base de données', 'Big Data', 'Conception informatique', 'Docker', 'Gestion de base de données', 'GIT', 'Intégration continue', 'Mathématiques appliquées', 'Normes AFNOR', 'Physique', 'Physique mathématique', 'Santé', 'Scilab']",42 - 45 k€ brut annuel,ALTRAN,Capgemini ER&D,"VOTRE ROLE    Notre entité parisienne intervient sur le développement d’outils de modélisation, de simulation et de calculs scientifiques pour nos clients dans les secteurs industriels de l’aéronautique, du spatial, de l’énergie, de la santé ou de la défense. Pour renforcer notre pôle de développement, nous recherchons un ingénieur confirmé maitrisant les technologies de développement logiciel objet C++, Fortran, Python ou Matlab/Simulink. Vous participerez à la définition des solutions et apporterez votre expérience dans le développement d’applications pour la simulation et les logiciels scientifiques de nos clients. En rejoignant notre équipe, vous pourrez intervenir sur différents aspects du développement, notamment : Le recueil et l’analyse des besoins clients ; La définition de l’architecture logicielle ; L’élaboration des noyaux et codes de calcul par vos connaissances en physique ou mathématiques appliquées ; Le développement d’applications, d’outils de pré ou post traitement ; La gestion des données, la visualisation, machine learning et le big Data ; La modélisation des phénomènes physiques ou de composants industriels ; ...","VOS COMPETENCES   Vous avez une formation Bac +5, au moins une expérience en développement ou optimisation de code de calculs scientifiques. Vous maitrisez la programmation objet avec les langages C++, Fortran ou Python Vous connaissez des environnements ou des logiciels de modélisation tels que Matlab/Simulink, Scilab... Vous disposez de compétences en bases de données et les langages associés. Vous savez également développer dans un environnement DevOps, d’intégration continue, Git, Docker, kubernetes, jenkins … Envie d’en savoir plus ? Nos collaborateurs prennent la parole ! CAPGEMINI, entreprise handi accueillante, conformément à la norme AFNOR NF X50-783, est également signataire de la charte de la diversité en entreprise","Capgemini Engineering fait partie du groupe Capgemini, un leader mondial, responsable et multiculturel, regroupant plus de 350 000 personnes dans près de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de plus de 50 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et du design jusqu’au management des opérations, en tirant parti des innovations dans les domaines en perpétuelle évolution du cloud, de la data, de l’Intelligence Artificielle, de la connectivité, des logiciels, de l’ingénierie digitale et des plateformes. Le Groupe a réalisé un chiffre d'affaires de 16 milliards d'euros en 2020. Avec près de 60 000 collaborateurs, la branche Capgemini Engineering de Capgemini est dédiée à l’ingénierie industrielle et à l’innovation technologique dans les secteurs aéronautique, spatial, de l’énergie et du transport.Notre culture et notre histoire : Découvrez la culture d’entreprise chez Capgemini : ici"
68,Bruxelles,Ingénieur Opérations Cloud F/H,2023-11-23T02:39:17.000+0000,2023-11-23T02:39:17.000+0000,['Anglais'],"[""Esprit d'équipe"", 'Disponibilité', 'Autonomie', 'Capacité à résoudre des problèmes', ""Capacité d'adaptation"", 'Capacité de communication', ""Sens de l'organisation"", 'Sens du relationnel']","['Cloud', 'Automatisme', 'Architecture SI', 'Gestion des incidents - anomalies', 'Accompagnement du client', 'Amazon Web Services', 'Base de données', 'Docker', 'Extensibilité', 'Gestion des priorités', 'Informatique', 'Kubernetes', 'Orchestration', 'Puppet', 'Python', 'Qualité', 'Suite des protocoles Internet', 'Transmission Control Protocol', 'Web']",A négocier,Cadremploi,cadremploi,"En tant qu'Ingénieur Opérations Cloud, vous intégrerez l'équipe "" Cloud Operations Engineering team "", il s'agit d'une équipe internationale ayant pour responsabilité de : 

Définir et implémenter des outils et des solutions afin de gérer les services Cloud "" fault-tolerant "" ainsi que l'infrastructure Cloud
Automatiser l'administration des services Cloud ainsi que leur déploiement
Maintenir les services Cloud en conditions opérationnelles
Réaliser la gestion de la résolution d'incidents ainsi que des problèmes complexes de production
Etre le garant de la fiabilité, de la performance, et de la qualité des services Cloud déployés
Assister sur les processus de développement ainsi que sur l'architecture des services Cloud
 
 

Poste en CDI, basé à Vélizy-Villacoublay (78).

 

 

#CloudOperations  #AWS  #3DEXPERIENCE   #Python 

 

 

Vos futurs défis 

 

 

Définir et implémenter les outils et solutions pour gérer des services et infrastructures Cloud de haute scalabilité et disponibilité
Définir et déployer les systèmes d'orchestration du Cloud en total automatisation & en ""infrastructure as code""
Réaliser les changements et opérations sur les systèmes de production
Résoudre les incidents et résoudre des problèmes complexes de production
Assurer la réussite des opérations 24x7 pour sécuriser la fiabilité, la performance et la haute disponibilité des services Cloud pour nos clients
Travailler en collaboration avec les équipes de développement sur les process de déploiement et les architectures Cloud ...","De formation supérieure BAC + 5 (Université ou école d'Ingénieur) avec une spécialisation en Informatique
Des connaissances en AWS sont fortement appréciées
Des compétences sur Kubernetes et Docker seraient un plus.
Vous justifiez d'une première expérience en infrastructure (réseau - architecture, internet, TCP/IP ; architecture système, systèmes d'opérations, protocoles Web, base de données, sécurité)
De bonnes connaissances en Développement (Python) et une bonne compréhension des technologies d'automatisation seront un plus (chef, Puppet...)
Vous savez gérer vos priorités en fonction des objectifs qui vous sont confiés
Vous êtes autonome et organisé
Vous avez une solide aisance relationnelle et de bonnes capacités de communication et d'adaptation
Votre niveau d'anglais est courant (contexte international) ...","Dassault Systèmes, "" The 3DEXPERIENCE Company "", offre aux entreprises et aux particuliers les univers virtuels nécessaires à la conception d'innovations durables. Ses solutions leaders sur le marché transforment pour ses clients, la conception, la fabrication et la maintenance de leurs produits. Les solutions collaboratives de Dassault Systèmes permettent de promouvoir l'innovation sociale et offrent de nouvelles possibilités d'améliorer le monde réel grâce aux univers virtuels. Avec des ventes dans plus de 140 pays, le Groupe apporte de la valeur à plus de 250 000 entreprises de toutes tailles dans toutes les industries. ..."
69,Bruxelles,Data Engineer #Bigdata F/H,2023-11-23T01:14:35.000+0000,2023-11-23T01:14:35.000+0000,,"[""Esprit d'équipe"", 'Autonomie', 'Curiosité', 'Passionne']","['Spark', 'Big Data', 'Cloud', 'Craftmanship', 'Docker', 'Extensibilité', 'Hadoop', 'Kubernetes', 'Python', 'Terraform', 'Datalake', 'Java', 'Scala', 'Tube Unix']",45 - 75 k€ brut annuel,Hellowork,Hellowork,"En étroite collaboration avec les équipes Data et l'équipe Software Engineering tu auras pour missions de :-  Travailler sur l'analyse d'une forte volumétrie de données (Big Data)-  Créer ou améliorer les pipelines de données ainsi que les DataLake-  Utiliser des outils Big Data (Spark ou Jupyter par exemple)-  Préconiser et exécuter la stratégie Data en lien avec la philosophie Craftmanship-  Gérer les problématiques de fort trafic et permettre la scalabilité de la solution-  Identifier les problèmes existants et travailler avec les équipes pour les résoudreStack Technique : Java ou Scala ou Python, Spark, Hadoop, Docker, Terraform, Kubernetes, Cloud provider etc.PACKAGE","Tu es le(la) futur(e) Data Engineer de leurs rêves si tu :-   As au moins 3ans d'expérience en tant que Data Engineer ayant notamment travailler sur des problématiques Big Data avec Spark ou Jupyter par exemple-   As déjà travaillé sur des problématiques de scalabilité-   Souhaites travailler sur une multitude de technologies afin de développer son côté agnostique-   As une volonté de travailler sur les sujets Tech d'un point de vue from scratch-   Es passionné(e), autonome et curieux(se)-   Possèdes une réelle volonté d'apprendre humainement et techniquementSi tu te reconnais dans cette description, postule et l'aventure commence maintenant !Stack à maitriser (en tout cas gros + si c'est le cas) :-   Spark-   Hadoop-   Cloud-   Python-   Craftmanship-   Docker-   Kubernetes-   Jupyter-   Terraform","URBAN LINKER est avant tout un concept novateur de cabinet de recrutement et chasse de tête, spécialisé dans les métiers du digital, implanté en France à Paris, Lyon et Bordeaux.Au-delà du recrutement, nos activités de conseil, l'organisation de meetups, l'hébergement des événements Web les plus courus  du moment ainsi que les nombreux partenariats que nous avons noués font d'Urban Linker un acteur majeur de l'écosystème digital & start-up.Aujourd'hui, Urban Linker, c'est :• Une start-up composée de spécialistes et de passionnés de l'univers du digital• Un process de recrutement sur-mesure pour les acteurs du Web• Une société qui parle le même langage que les candidats qu'elle recrute• Un rôle de conseil sur des projets à forte croissance• Des locaux en plein Paris dans le 2ème arrondissementSpécialités :Notre concept est innovant et intègre une expertise sur l'ensemble des métiers du digital.> TECHNIQUE : développeur Web (Php, Java, .Net…), front-end, intégrateur, ingénieur spécialisé> WEB MARKETING : marketing manager, traffic manager, community manager, project manager, consultant SEO/SEM.> SALES : business developer, sales manager, account manager…> TOP MANAGEMENT : CEO, COO, CTO, CMO"
70,GRENOBLE,Data Scientist Full Stack F/H,2023-11-22T14:06:35.000+0000,2023-11-13T16:06:49.000+0000,"['Anglais', 'Français']","[""Esprit d'équipe"", 'Force de proposition', ""Capacité d'analyse""]","['Intelligence artificielle', 'Algorithme', 'Python', 'Analyse de données', 'Traitement automatique du langage naturel']",A partir de 55 k€ brut annuel,D3S,D3S,"L'équipe D3S propose des algorithmes et solutions logicielles innovantes pour améliorer la performance des grands industriels (AIRBUS, RENAULT, SAFRAN, etc). Nous travaillons en équipe dans nos locaux (pas de prestation en régie chez les clients) avec possibilité de télétravail 2 jours par semaine. Nous sommes basés au cœur des Alpes, à Grenoble.Vous participerez au développement de solutions  analytiques / IA ayant un vrai impact dans l'industrie. Les missions sont variées, avec des contextes et environnement techniques spécifiques à chaque projet. Vous devrez proposer des solutions articulant les modèles et algorithmes pertinents dans le respect des délais, avec un haut niveau de qualité. Le terrain de jeu est large. La plupart des développements sont en Python ou PySpark.Nos atoutsUne équipe de haut niveau (X, ENS, Centrale, Ensimag, Supaero, etc.)Des briques technologiques propriétaires à fort impactUne association avec le cabinet de stratégie STEP Consulting, groupe de 60 collaborateurs entre Paris et Toulouse.  La reconnaissance du top management de nos clients, avec qui nous travaillons depuis plusieurs annéesUne R&D active sur projet client et en interne, pour rester à la pointe sur les technologies développéesDe fortes compétences en informatique, nous livrons des solutions fonctionnelles à nos clients (prototypes, logiciel end2end, etc)Les plusUne équipe soudée, favorisant la montée en compétences par les échanges et le soutien quotidienPossibilité de télétravail 2 jours par semaineTeam events 2 fois par an avec les consultants de STEP","Data scientists experts en manipulation de données, conception d'algorithmes, intelligence artificielle et développement logiciel.Votre profil :Ingénieurs grandes écoles (groupe A/A+) avec ou sans PhDEsprit d'équipe et d'engagementMaitrise avancée de PythonExpertise en intelligence artificielleExpérience en analyse de données CAD 3D et/ou développement logiciel appréciéeQualités de communication en français et en anglais","Depuis 2016, D3S développe des algorithmes et solutions logicielles pour les leaders de l'industrie.Nous avons une expertise reconnue dans l'analyse massive de données, le développement  de prototypes / logiciels intégrant des modélisations complexes et une activité de R&D en IA appliquée entre autres aux données 3D et au NLP ciblé technique.Les projets récents ont permis à nos client: d'évaluer en masse le coût de fabrication des produits, de réduire les non qualités sur la chaine de production, d'éviter les ruptures d'approvisionnement, de concevoir des produits plus efficients, de réduire l'impact carbone, etc.Nous sommes associés avec le cabinet STEP, spécialiste du conseil en stratégie et performance avec 60 collaborateurs entre Paris et Toulouse (www.step-consulting.fr).info@d3s.aihttps://d3s.ai/"
71,CAEN,ML / MLOps Engineer confirmé·e F/H,2023-11-23T08:44:08.000+0000,2023-10-02T12:29:45.000+0000,,"[""Esprit d'équipe"", 'Sens du relationnel', 'Autonomie', ""Capacité d'adaptation"", 'Capacité de communication', 'Capacité d’écoute', 'Créativité', 'Curiosité', 'Passionne', 'Proactivité']","['ML', 'Apprentissage automatique', 'Python', 'Amazon Web Services', 'Architecture', 'Automatisme', 'Google Cloud Plateform', 'Industrialisation', 'Maintenance', 'Pylint', 'Sciences de la donnée', 'SQL', 'Traitement des données', 'Airflow', 'Apache Kafka', 'Architecture distribuée', 'Back office', 'Base de données', 'Big Data', 'BigQuery', 'Cloud', 'Collecte de Données', 'Containerisation', 'Contrôle qualité', 'Dashboard', 'Docker', 'Documentation', 'Etude de projet', 'Extensibilité', 'Fastapi']",A négocier,SOYHUCE,SOYHUCE,"En tant que ML / MLOps Engineer au sein d'un environnement dynamique et à forte technicité, vous assurez la conception et mise en œuvre d'architecture Data/ML pour le déploiement et l'industrialisation de modèles ML.Vos missions au quotidien :Etudier et mettre en place les meilleures solutions techniques pour gérer de grands volumes de données, de la collecte de données d'entraînement jusqu'au déploiement en production ;Industrialiser les modèles Machine Learning et assurer leur mise en production selon les standards de qualités définis en interne ; Maîtriser la qualité du code mis en production pour assurer le run (Git, évaluation de performance de modèle) ;Travailler en collaboration avec l'équipe Data (Data Engineer, Data Scientist, PO Data) pour intégrer des modèles ML en tant que livrables dans un produit ou un projet ;Gérer l'environnement Big Data (GCP/AWS/Azure, au choix) en assurer la stabilité et l'optimisation dans le cadre des projets Data inscrits dans la Roadmap ;Mettre en place les pipeline de CI/CD de projets ML ;Automatiser le processus de structuration de la DATA en amont de l'intervention d'un Data Scientist (création et maintenance du code) ;Concevoir et automatiser le processus de structuration de la DATA et des outils nécessaires permettant aux experts de l'équipe un accès facile aux données pour développer les cas d'usage métiers (Data science/IA, Reporting, Analytics, Activation média, ...) ;Être l'interlocuteur privilégié de l'équipe projet et avant-projet pour les infrastructures ML ;Assurer avec l'IT le processus de qualité et la fiabilité des flux de données (scalabilité, sécurité, performance, recovery) en conformité avec les standards définis au niveau projet ; Assurer la rédaction et la maintenance d'une documentation claire sur les différents projets développés ;Évaluer l'architecture et l'environnement Data et prévoir des mises à jour nécessaires selon les besoins de l'équipe ;Développer les APIs/ connecteurs nécessaires pour intégrer notre DATA dans les environnements cibles. Compétences techniques :Maîtrise Cloud GCP et AWS Langages Python, Terraform, SQLModélisation, traitement et transformation des données complexes et multi-sources,Conception et déploiement d'une architecture distribuée pour le traitement de données,Maîtrise des aspects d'authentification, de sécurité, de containerisation et d'orchestration,Maîtrise des technologies: Base de données (SQL, noSQL, BigQuery, Snowflake), Suite ELK, Queue de messages (rabbitMQ, Kafka, ), Containerization (Docker, Kubernetes), Ordonnancement (Airflow)Expertise sur l'utilisation et le déploiement d'outils ML tel que MLFlow ou KubeflowMaîtrise des différentes librairies Python ML et data :  tensorFlow, keras, scikit-learn, pandas, numpyMaîtrise des outils Web-services Python : FastAPI, Flask, DashConnaissances et veille active sur les outils de qualité de code en Python (pylint, mypy, flake8 ) : black, flake8, mypy, pylint, pytest​​​","Diplômé·e d études supérieures dans le système d information, computer sciences, big data (école d ingénieurs, école spécialisée  ou équivalent universitaire), vous avez au moins 3 ans d expérience en ML Ops, Data Architecture, ou a minima Data Ingénierie.Vous avez une forte culture Data Science, idéalement une pratique en Machine Learning.Passionné·e de la data en particulier les enjeux d industrialisation des modèles ML, vous possédez les qualités suivantes :Esprit d'équipe et sens de l'écoute.Autonomie et proactivité.Curiosité et créativité.Sens relationnel et capacité d'adaptationRigueurEsprit d analyseVous êtes bon communiquant·e et possédez un très bon relationnel.Vous comprenez les avantages et inconvénients des outils, et vous savez choisir les solutions en fonction des besoins clients pour en tirer le meilleur.Les avantages :Entreprise jeune en plein développement Environnement de start-up innovant, véritable tremplin et accélérateur de progressionProjets et missions sur des champs techniques très variés Mise en situation de responsabilité rapidementBureau en plein centre de Paris et centre de CaenTravail en lien avec de nombreux métiers coeurs du numérique : UX Designer, développeurs Front/back/fullstack, DevOps, Data Ingénieurs, Data Scientists Télétravail possible jusqu'à 3 jours par semaine  Une mutuelle d entreprise (Axa Group) 50% de frais de participation pour les transports  Le contrat :Le poste à pourvoir est un CDI Rémunération selon profil et expériencePoste ouvert aux personnes en situation de handicap","Depuis 2013, SoyHuCe accompagne les entreprises, industries et collectivités dans leurs problématiques liées aux enjeux du numérique et leur transformation digitale. Les solutions que nous concevons et développons sont centrées sur les utilisateurs, mettant l humain au cœur des organisations. Tech Lab spécialisé en algorithmes et en IA, SoyHuCe met à votre disposition son expertise avec :Un laboratoire R&D en Algorithmie et Data ScienceUne Data FactoryUne Usine Digitale Nos 40 collaborateurs·rices spécialisés (Chefs de projet, UX/UI Designer, Développeurs·ses Front / Back / Fullstack, DevOps, Data Ingénieurs, Data Scientists, Data Analyst, MLOps ) contribuent au bon développement de nos projets internes et solutions sur-mesures pour répondre aux besoins de nos clients.En pleine expansion, SoyHuCe se répartit aujourd hui sur quatre sites en France, Caen, Paris, Montpellier et Roubaix dans des équipes stimulantes à taille humaine.En interne, toutes les initiatives sont valorisées : les idées, les avancées techniques et la montée en compétences, le tout dans une ambiance challengeante et bienveillante."
72,GUYANCOURT,Ingénieur Développement Logiciel Embarqué F/H,2023-11-23T12:31:06.000+0000,2023-11-16T13:42:11.000+0000,,,"['C++', 'Composant logiciel', 'Développement de systèmes embarqués', 'Conception informatique', 'DSP', 'Hardware', 'Keil', 'Langage C', 'Langage de programmation', 'Langage de script', 'Linux', 'Maintenance', 'Perl', 'Python', 'Rédaction de spécifications techniques et fonctionnelles', 'Systèmes embarqués']",A négocier,SERMA INGENIERIE,SERMA INGENIERIE,"Dans le cadre du développement de prototypes dans le secteur du Spatial, nous recherchons un Ingénieur en Développement Logiciel embarqué C++ (H/F).Vous interviendrez sur le développement des composants logiciels pour un système Radiofréquence embarqué.Vous aurez pour missions de :-        Contribuer à la conception détaillée des nouveaux composants logiciels.-        Maîtriser l implémentation de ces composants dans le cadre des nouvelles technologies.-        Assurer la maintenance évolutive des solutions logicielles radios actuelles.-        Contribuer aux revues des spécifications fonctionnelles et non fonctionnelles.","De formation Ingénieur en Informatique Industrielle, vous justifiez impérativement de minimum 3 années d'expérience en développement de logiciels embarqués.Vous avez une experience significative de développement dans un domaine contraint normé selon par exemple la DO178Vous maîtriser le langage de programmation C/C++.Vous avez travaillé sur des DSP ou processeur ARM sous Linux sous des chaînes de compilation telle que KeilPour tester le logiciel vous êtes familier avec le langage de script tels que Perl ou python.","Premier laboratoire Européen d expertise en électronique, SERMA GROUP représente plus de 1400 Ingénieurs et Techniciens spécialisés dans l expertise et l ingénierie électronique et microélectronique.Sa filiale SERMA Ingénierie accompagne l ensemble des grandes industries Européennes dans la conception, le développement, l industrialisation et la maintenance de systèmes électroniques embarqués."
73,VITROLLES,Ingénieur CFD en développement de codes scientifiques (CEDRE) F/H,2023-11-23T10:06:42.000+0000,2023-11-23T10:06:42.000+0000,,"['Autonomie', ""Esprit d'équipe"", 'Qualité rédactionnelle']","['Mécanique des fluides', 'Regressions', 'C++', 'Documentation', 'Environnement de développement', 'Fortran', 'Maintenance informatique', 'MCO', 'Modélisation mécanique', 'Normes environnementales', 'Python']",35 - 40 k€ brut annuel,CORSE ETUDES INGENIERIE CEI,CT Ingénierie Paris,"Directement intégré(e) au sein de nos équipes, vous intervenez dans le support, la validation, la documentation et le maintien en conditions opérationnelles de codes scientifiques. Vous aurez en charge les missions suivantes :Maintenance et support informatique sur CEDRE pour les clients et les développeurs, Développement et/ou optimisation des environnements de développement, Maintien des scripts de configuration, compilation et non régression liée au code, Tests de non régression","Diplômé(e) d’une école d’Ingénieur et ou Master avec une base en Mécanique des Fluides et en Développement de codes scientifiques,Une première expérience autour de l’utilisation de codes de calculs et de leur environnement serait appréciée, en particulier le code CEDREVous maîtrisez plusieurs langages (C++, Python, Fortran) et avez des compétences en modélisation de la mécanique des fluides,Vous avez de bonnes capacités rédactionnelles en français,Vous avez le goût de l’aide, du partage et êtes autonome.","CT est un groupe international d'ingénierie qui emploie plus de 1800 personnes dans le monde. Grâce à notre expertise et à nos équipes, nous accompagnons nos clients dans leurs projets industriels. L’innovation et la technologie sont au cœur de nos métiers. Nous restons une entreprise à taille humaine et veillons à respecter au quotidien notre devise « A place where people love to work »."
74,GRENOBLE,Ingénieur développement C F/H,2023-11-23T08:03:05.000+0000,2023-11-23T08:03:05.000+0000,['Anglais'],"['Curiosité', ""Esprit d'équipe"", 'Résistance au stress', 'Rigueur']","['Base de données', 'Cycle en V', 'Défaillance', 'Documentation technique', 'GIT', 'Jira', 'Langage C', 'Python', 'Rédaction', 'SQL', 'Suivi de projets et de dossiers', 'Test fonctionnel', 'Test unitaire']",A négocier,HAYS,Hays France,"Vous rejoignez une équipe Logiciel d'une dizaine de personnes pour prendre part à un projet. Vos missions vous permettent d'intervenir sur l'ensemble du cycle en « V » pour prendre en charge les évolutions logicielles des applications.Directement rattaché au Responsable Software, vous intervenez dans :Le développement des nouvelles fonctionnalités logicielles,L'évolution et le refactoring du code existant pour améliorer sa maintenabilité,Les phases de tests fonctionnels et unitaires,La correction et l'évolution du code,Certaines réunions de suivi et d'avancement,La rédaction de la documentation technique en anglais."," Titulaire d'un diplôme d'Ingénieur en Informatique, vous possédez à minima 2 ans d'expérience sur cette typologie de poste. Votre rigueur, curiosité et capacité à travailler en équipe vous permettront de vous épanouir sur ce poste.Compétences techniques :  Un bon niveau sur le langage C (obligatoire)La connaissance du langage Python (optionnelle)La connaissance de la gestion de configuration (Git) (optionnelle)La maîtrise d'un outil de gestion des défaillances tel que Jira (optionnelle)La connaissance des bases de données SQL (optionnelle)Bon niveau d'anglais à l'écrit (obligatoire) #Coding #C #Tech #Ingénieur #Grenoble #RecrutementIT #IT #JobIT #Développeur #Logiciel #Software #Engineer #Documentation "," Notre client, éditeur de logiciels, souhaite compléter ses équipes. Il recherche aujourd'hui un nouveau Développeur logiciel sur le langage C. "
